PARK NAME,PARK NUMBER,ART,ARTIST,OWNER,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
KENNEDY (DENNIS),48,Korean War Memorial,Maurice Moore Memorials,CPD,1162325.5203100001,1829573.7874,41.688001999999997,-87.681370000000001,"(41.688002, -87.68137)"
LINCOLN (ABRAHAM),100,Pathfinders,Veryl Goodnight,Lincoln Park Zoo,1174334.74826,1914745.4733599999,41.921464,-87.634871000000004,"(41.921464, -87.634871)"
GRANT (ULYSSES),24,Olmec Head,Ignacio Perez Salono,Field Museum,1179684.6949100001,1894957.9017099999,41.867044999999997,-87.615821999999994,"(41.867045, -87.615822)"
MID-NORTH,1206,Fountain,Gast Monuments, ,1173190.4598699999,1915516.01709,41.923603999999997,-87.639052000000007,"(41.923604, -87.639052)"
LINCOLN (ABRAHAM),100,Bushman's Head, ,Lincoln Park Zoo,1175068.1732999999,1914285.5533499999,41.920186000000001,-87.632189999999994,"(41.920186, -87.63219)"
SKINNER (MARK),211,Playground Dragon,CPAG,CPD,1167650.89778,1899356.2150900001,41.879382,-87.659873000000005,"(41.879382, -87.659873)"
GARFIELD (JAMES),204,Robert Burns Memorial,William Grant Stevenson,CPD,1151988.5518100001,1900189.3404000001,41.881990999999999,-87.717360999999997,"(41.881991, -87.717361)"
BURNHAM (DANIEL),27,Tribute to Freedom,Anna Koh Varilla,CPD,1179259.28369,1893647.8711999999,41.863460000000003,-87.617424,"(41.86346, -87.617424)"
KENNEDY (DENNIS),48,Playground Art,Roman Villareal,CPD,1162165.5038999999,1829453.15411,41.687674999999999,-87.681959000000006,"(41.687675, -87.681959)"
MONUMENT,57,WWI Monument (Honor Roll for Vets),James J. Egan,CPD,1124289.6337900001,1943648.7393700001,42.001748999999997,-87.818113999999994,"(42.001749, -87.818114)"
GRANT (ULYSSES),24,Rosenberg Fountain (Hebe),Franz Machtl,CPD,1177513.98009,1895539.8460899999,41.868690999999998,-87.623773,"(41.868691, -87.623773)"
LINCOLN (ABRAHAM),100,Greene Vardiman Black,Frederick Cleveland Hibbard,CPD,1176345.6956799999,1911072.54895,41.911340000000003,-87.627593000000005,"(41.91134, -87.627593)"
WASHINGTON (HAROLD),494,Ecstasy,Virginio Ferrari,CPD,1188997.76192,1871568.51214,41.802644000000001,-87.582384000000005,"(41.802644, -87.582384)"
GRANT (ULYSSES),24,Chicago Stock Exchange Arch,Adler & Sullivan,Art Institute of Chicago,1178216.0098600001,1899902.7691200001,41.880647000000003,-87.621063000000007,"(41.880647, -87.621063)"
WASHINGTON (GEORGE),21,Spirit of DuSable Series,"Jill N. Parker, Lawrence E. Taylor, Ausbra Ford",CPD,1182267.1326599999,1867988.4520399999,41.792979000000003,-87.607179000000002,"(41.792979, -87.607179)"
WASHINGTON (GEORGE),21,Drexel Fountain,Henry Manger,COC,1182980.0478999999,1871242.2785400001,41.801890999999998,-87.604462999999996,"(41.801891, -87.604463)"
GOMPERS (SAMUEL),40,Samuel Gompers Monument,Susan Clinard,CPD,1148701.4661999999,1934165.3213299999,41.975287999999999,-87.728550999999996,"(41.975288, -87.728551)"
GRANT (ULYSSES),24,Abraham Lincoln (Seated Lincoln),Augustus Saint-Gaudens,CPD,1178102.5550299999,1898688.5763399999,41.877318000000002,-87.621516999999997,"(41.877318, -87.621517)"
LINCOLN (ABRAHAM),100,Seal and Sea Lion,Dino C. Crisanti,Lincoln Park Zoo,1174421.9967799999,1914756.0488,41.921491000000003,-87.634550000000004,"(41.921491, -87.63455)"
LINCOLN (ABRAHAM),100,Lowland Gorilla Family,Bill Wieger,Lincoln Park Zoo,1175167.57501,1914116.2265900001,41.919719000000001,-87.631829999999994,"(41.919719, -87.63183)"
FULLER (MELVILLE),4,Fountain, ,CPD,1174735.0840799999,1874879.7319,41.812061,-87.634591999999998,"(41.812061, -87.634592)"
LINCOLN (ABRAHAM),100,Signal of Peace,Cyrus Edwin Dallin,CPD,1175250.4947899999,1919032.06813,41.933205999999998,-87.631377000000001,"(41.933206, -87.631377)"
BURNHAM (DANIEL),27,Gold Star Families Memorial,David Woodhouse & Assoc.,CPD,1180132.7990000001,1893284.0399,41.862440999999997,-87.614228999999995,"(41.862441, -87.614229)"
NORTHERLY ISLAND,34,Karel Havlicek,Joseph Strachovsky,CPD,1181150.4839699999,1894705.7309600001,41.866318999999997,-87.610449000000003,"(41.866319, -87.610449)"
PARK NO. 532,532,Restoration,Milton Mizenburg Jr., ,1183983.1594100001,1877837.23385,41.819965000000003,-87.600577999999999,"(41.819965, -87.600578)"
LINCOLN (ABRAHAM),100,John Peter Altgeld Monument,Gutzon Borglum,CPD,1173579.3003,1918646.9957399999,41.932186999999999,-87.637529999999998,"(41.932187, -87.63753)"
LINCOLN (ABRAHAM),100,Monument to Johann Wolfgang von Goethe,Herman Hahn,CPD,1173284.56598,1918796.17392,41.932603,-87.638609000000002,"(41.932603, -87.638609)"
OWENS (JESSE),237,Playground Art,CPAG,CPD,1191394.5707700001,1846885.8840099999,41.734856000000001,-87.574393000000001,"(41.734856, -87.574393)"
GRANT (ULYSSES),24,Fountain Figures,Leonard Crunelle,CPD,1178579.98551,1897434.23633,41.873865000000002,-87.619802000000007,"(41.873865, -87.619802)"
CONNORS (WILLIAM),1200,Connors Park Fountain,Teng & Assoc.,CPD,1176629.2325200001,1906421.6173,41.898570999999997,-87.626693000000003,"(41.898571, -87.626693)"
OGDEN (WILLIAM),8,World War II Memorial Fountain,Frederick C. Hibbard,CPD,1169053.1531799999,1861343.49749,41.775041000000002,-87.655824999999993,"(41.775041, -87.655825)"
HUMBOLDT (BARON VON),219,Home (Miner and Child),Charles Mulligan,CPD,1157322.7986900001,1908048.1179899999,41.903449000000002,-87.697559999999996,"(41.903449, -87.69756)"
HARRISON (CARTER),213,Zapata Bust,Gabriel Ponzanelli,CPD,1164490.5983299999,1891103.3054200001,41.856802000000002,-87.671710000000004,"(41.856802, -87.67171)"
LINCOLN (ABRAHAM),100,Heron,H. Wheatley Allen,Lincoln Park Zoo,1174244.8560500001,1914692.5955099999,41.921320999999999,-87.635203000000004,"(41.921321, -87.635203)"
LINCOLN (ABRAHAM),100,Children's Fountain,Robinson Iron Works,CPD,1175302.5780199999,1911063.3179899999,41.911338000000001,-87.631426000000005,"(41.911338, -87.631426)"
MARIANO (LOUIS),1239,Fountain, ,CPD,1176220.2294000001,1907572.3423599999,41.901738000000002,-87.628159999999994,"(41.901738, -87.62816)"
NICHOLS (JOHN FOUNTAIN),277,North Fountain,Maria Whiteman,CPD,1185934.1768400001,1870275.56853,41.799168999999999,-87.59366,"(41.799169, -87.59366)"
LINCOLN (ABRAHAM),100,Chess Pavillion,Boris Gilbertson,CPD,1177055.3310799999,1911061.6982499999,41.911293999999998,-87.624987000000004,"(41.911294, -87.624987)"
LINCOLN (ABRAHAM),100,Putnam Chain, ,Chicago History Museum,1175387.5604600001,1911454.6807299999,41.912410000000001,-87.631101999999998,"(41.91241, -87.631102)"
