PARK,PARK NUMBER,FACILITY NAME,FACILITY TYPE,X COORDINATE,Y COORDINATE,LOCATION
CRAGIN,131,SPORT ROLLER COURT,OUTDOOR,1141029.6934799999,1917021.0377,"(41.928388, -87.757187)"
CRAGIN,131,SPRAY FEATURE,OUTDOOR,1140738.07825,1917007.1181099999,"(41.928355, -87.758259)"
CRAGIN,131,TENNIS COURT,OUTDOOR,1141059.6205899999,1916897.8492999999,"(41.928049, -87.75708)"
CRAGIN,131,TENNIS COURT,OUTDOOR,1141015.0777,1916897.15344,"(41.928048, -87.757244)"
CRAWFORD (PETER),359,PLAYGROUND PARK,OUTDOOR,1149227.06094,1892189.94071,"(41.860093, -87.727708)"
CRAWFORD (PETER),359,SPRAY FEATURE,OUTDOOR,1149198.8411900001,1892177.9801099999,"(41.860061, -87.727812)"
CRESCENT,47,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1163226.1454799999,1832964.79473,"(41.697289, -87.677978)"
CRESCENT,47,BASEBALL JR/SOFTBALL,OUTDOOR,1163385.56314,1832883.7663499999,"(41.697063, -87.677397)"
CRESCENT,47,PLAYGROUND,OUTDOOR,1163562.8469100001,1832933.7452499999,"(41.697197, -87.676746)"
CRESCENT,47,TENNIS COURT,OUTDOOR,1163567.5621199999,1833070.48021,"(41.697572, -87.676725)"
CRESCENT,47,TENNIS COURT,OUTDOOR,1163519.4690400001,1833069.53697,"(41.69757, -87.676901)"
CURIE (MARIE),408,BASKETBALL COURT,OUTDOOR,1151348.2545400001,1871461.1262000001,"(41.803169, -87.720465)"
CURIE (MARIE),408,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1151463.7775999999,1871397.90126,"(41.802994, -87.720043)"
CURIE (MARIE),408,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1151667.29917,1871525.48171,"(41.80334, -87.719293)"
CURIE (MARIE),408,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1151895.12155,1871508.7747299999,"(41.803289, -87.718458)"
CURIE (MARIE),408,GYMNASIUM,INDOOR,1151184.31556,1871194.3796900001,"(41.802441, -87.721073)"
CURIE (MARIE),408,POOL (INDOOR),INDOOR,1151134.1946,1871223.2372399999,"(41.802521, -87.721256)"
CURIE (MARIE),408,BASEBALL JR/SOFTBALL,OUTDOOR,1151944.27828,1871705.1372,"(41.803827, -87.718272)"
CURIE (MARIE),408,BASEBALL JR/SOFTBALL,OUTDOOR,1151600.76486,1871691.21104,"(41.803796, -87.719533)"
CURIE (MARIE),408,BASEBALL JR/SOFTBALL,OUTDOOR,1151435.19728,1871242.4773599999,"(41.802568, -87.720152)"
CURIE (MARIE),408,BASEBALL SR,OUTDOOR,1151721.45884,1871288.89787,"(41.80269, -87.7191)"
CURIE (MARIE),408,VOLLEYBALL,OUTDOOR,1151418.7642399999,1871516.15824,"(41.803319, -87.720205)"
DALEY (RICHARD J.),530,BOAT LAUNCH MOTORIZED,OUTDOOR,1160530.8487,1883840.2645,"(41.836955, -87.686446)"
DAVIS (DR. NATHAN) SQUARE,14,ARTIFICIAL TURF FIELD,OUTDOOR,1165604.9596200001,1875366.9595999999,"(41.813597, -87.668068)"
DAVIS (DR. NATHAN) SQUARE,14,BASKETBALL COURT,OUTDOOR,1165963.42741,1874964.35837,"(41.812484, -87.666764)"
DAVIS (DR. NATHAN) SQUARE,14,BASKETBALL COURT,OUTDOOR,1165962.52682,1875037.3129499999,"(41.812684, -87.666765)"
DAVIS (DR. NATHAN) SQUARE,14,HORSESHOE COURT,OUTDOOR,1165985.2029500001,1874920.1580000001,"(41.812362, -87.666685)"
DAVIS (DR. NATHAN) SQUARE,14,BASEBALL JR/SOFTBALL,OUTDOOR,1165649.09241,1875249.8718999999,"(41.813274, -87.667909)"
DAVIS (DR. NATHAN) SQUARE,14,BASEBALL JR/SOFTBALL,OUTDOOR,1165525.7002600001,1874997.68343,"(41.812585, -87.668369)"
DAVIS (DR. NATHAN) SQUARE,14,BASEBALL JR/SOFTBALL,OUTDOOR,1166006.6595999999,1875360.6548200001,"(41.813571, -87.666594)"
DAVIS (DR. NATHAN) SQUARE,14,POOL (OUTDOOR),OUTDOOR,1165945.41399,1875198.53342,"(41.813127, -87.666824)"
DAVIS (DR. NATHAN) SQUARE,14,PLAYGROUND,OUTDOOR,1165890.4728300001,1875001.28611,"(41.812587, -87.667031)"
DAVIS (DR. NATHAN) SQUARE,14,SPRAY FEATURE,OUTDOOR,1165813.91557,1875003.9882100001,"(41.812596, -87.667311)"
DAVIS (MARGARET),1092,BASKETBALL COURT,OUTDOOR,1139737.15965,1907328.4767100001,"(41.901814, -87.762174)"
DAVIS (MARGARET),1092,PLAYGROUND PARK,OUTDOOR,1139736.9969200001,1907384.9244299999,"(41.901969, -87.762173)"
DAVIS (DR. NATHAN) SQUARE,14,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1165843.76951,1875405.8207400001,"(41.813698, -87.66719)"
DAVIS (DR. NATHAN) SQUARE,14,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1165580.3199100001,1875135.29831,"(41.812961, -87.668164)"
DAVIS (DR. NATHAN) SQUARE,14,FITNESS CENTER,INDOOR,1165836.6970200001,1875214.8637699999,"(41.813174, -87.667222)"
DAWES (CHARLES G.),239,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1164095.6260200001,1850721.52201,"(41.745998, -87.674297)"
DAWES (CHARLES G.),239,BASKETBALL COURT,OUTDOOR,1163868.0510199999,1851078.48193,"(41.746983, -87.675121)"
DAWES (CHARLES G.),239,BASEBALL JR/SOFTBALL,OUTDOOR,1163211.62451,1850999.8964499999,"(41.746781, -87.677528)"
DAWES (CHARLES G.),239,BASEBALL JR/SOFTBALL,OUTDOOR,1164312.43793,1850915.5137499999,"(41.746526, -87.673497)"
DAWES (CHARLES G.),239,BASEBALL JR/SOFTBALL,OUTDOOR,1164325.8624400001,1850625.9267299999,"(41.745731, -87.673456)"
DAWES (CHARLES G.),239,BASEBALL JR/SOFTBALL,OUTDOOR,1163903.94793,1850528.1195100001,"(41.745472, -87.675004)"
DAWES (CHARLES G.),239,PLAYGROUND,OUTDOOR,1164266.4107900001,1851160.99128,"(41.747201, -87.673659)"
DAWES (CHARLES G.),239,SPRAY FEATURE,OUTDOOR,1164170.52122,1851130.30663,"(41.747118, -87.674011)"
DAWES (CHARLES G.),239,BASEBALL SR,OUTDOOR,1163900.11231,1850907.8425,"(41.746514, -87.675008)"
DEAN,1027,PLAYGROUND,OUTDOOR,1164629.1643300001,1909293.0649699999,"(41.906714, -87.670686)"
DEAN,1027,SPRAY FEATURE,OUTDOOR,1164680.0812200001,1909317.0035699999,"(41.906778, -87.670499)"
DEARBORN (HENRY),465,FITNESS COURSE,OUTDOOR,1176064.17722,1896366.97009,"(41.870994, -87.629071)"
HUMBOLDT (BARON VON),219,WETLAND AREA,OUTDOOR,1155420.0689000001,1908028.4641499999,"(41.903434, -87.704549)"
WARREN (LAURENCE),428,HANDBALL/RACQUET (IN),INDOOR,1159470.3898700001,1944066.16472,"(42.002241, -87.688676)"
WARREN (LAURENCE),428,SHUFFLEBOARD,SPECIAL,1159844.0226499999,1944316.9831099999,"(42.002921, -87.687294)"
OGDEN (WILLIAM),8,CAROUSEL,SPECIAL,1169285.7865800001,1860937.8444300001,"(41.773923, -87.654984)"
JACKSON (ANDREW),19,WATER PLAYGROUND,OUTDOOR,1191313.9180399999,1863898.5868599999,"(41.781542, -87.574138)"
WASHINGTON (HAROLD),494,MODEL YACHT BASIN,SPECIAL,1188924.37295,1871396.75034,"(41.802175, -87.582659)"
DEBOW (RUSSELL),405,PLAYGROUND,OUTDOOR,1185298.7781700001,1852260.42707,"(41.749749, -87.596556)"
DEGEORGE (BERNICE),1093,PLAYGROUND PARK,OUTDOOR,1143166.3250299999,1910739.29535,"(41.91111, -87.749493)"
DEJULIO (ANTHONY),366,PLAYGROUND PARK,OUTDOOR,1141837.6311699999,1939786.7828599999,"(41.990844, -87.753652)"
D'ELIA (AILEEN),390,PLAYGROUND PARK,OUTDOOR,1166363.0676800001,1942409.3179599999,"(41.997549, -87.663366)"
DICKINSON (ARTHUR),1211,PLAYGROUND,OUTDOOR,1142444.90915,1926889.5629199999,"(41.955442, -87.75174)"
DICKINSON (ARTHUR),1211,SPRAY FEATURE,OUTDOOR,1142385.97948,1926882.62986,"(41.955424, -87.751957)"
DIXON (LORRAINE),1210,PLAYGROUND,OUTDOOR,1183909.5535899999,1846028.34439,"(41.73268, -87.601841)"
DOBSON,1094,PLAYGROUND PARK,OUTDOOR,1184617.82382,1855194.1876099999,"(41.757816, -87.59896)"
DOGWOOD,344,PLAYGROUND PARK,OUTDOOR,1158119.83023,1896345.7302999999,"(41.871321, -87.694952)"
DOGWOOD,344,SPRAY FEATURE,OUTDOOR,1158131.03887,1896306.30617,"(41.871212, -87.694912)"
DONOVAN (GEORGE),1029,BASKETBALL COURT,OUTDOOR,1171056.9729899999,1880591.5935,"(41.827816, -87.647916)"
DONOVAN (GEORGE),1029,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1170886.3981999999,1880696.31311,"(41.828107, -87.648539)"
DONOVAN (GEORGE),1029,PLAYGROUND,OUTDOOR,1171045.69349,1880808.72004,"(41.828412, -87.647951)"
DONOVAN (GEORGE),1029,SPRAY FEATURE,OUTDOOR,1171052.4611899999,1880759.0911999999,"(41.828276, -87.647928)"
DONOVAN (GEORGE),1029,BASEBALL SR,OUTDOOR,1170786.2694699999,1880786.1616799999,"(41.828356, -87.648904)"
DONOVAN (GEORGE),1029,BASEBALL SR,OUTDOOR,1170976.3258499999,1880591.5935,"(41.827818, -87.648212)"
DONOVAN (GEORGE),1029,VOLLEYBALL,OUTDOOR,1171055.28107,1880654.7574199999,"(41.827989, -87.647921)"
DOOLEY (THOMAS),296,BASEBALL JR/SOFTBALL,OUTDOOR,1154945.8500300001,1853473.5591599999,"(41.753738, -87.70775)"
DOOLEY (THOMAS),296,PLAYGROUND,OUTDOOR,1154852.0260699999,1853399.84014,"(41.753537, -87.708096)"
DOUGHERTY (DANIEL),368,BASEBALL JR/SOFTBALL,OUTDOOR,1194575.5063400001,1843557.0898200001,"(41.725644, -87.562849)"
DOUGHERTY (DANIEL),368,BASEBALL SR,OUTDOOR,1194582.93316,1843234.02517,"(41.724757, -87.562832)"
DOUGLAS (STEPHEN),218,ARTIFICIAL TURF FIELD,OUTDOOR,1157553.7749300001,1891855.59525,"(41.859011, -87.697152)"
DOUGLAS (STEPHEN),218,BASKETBALL COURT,OUTDOOR,1157864.5423600001,1890947.34051,"(41.856512, -87.696036)"
DOUGLAS (STEPHEN),218,CASTING PIER,OUTDOOR,1157296.13503,1893235.50391,"(41.862802, -87.69806)"
DOUGLAS (STEPHEN),218,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1157001.7192800001,1891467.6458999999,"(41.857957, -87.699189)"
DOUGLAS (STEPHEN),218,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1157230.7273500001,1891223.0236800001,"(41.857281, -87.698355)"
DOUGLAS (STEPHEN),218,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1157355.6408200001,1891628.99236,"(41.858393, -87.697885)"
DOUGLAS (STEPHEN),218,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1156210.6011099999,1891249.04758,"(41.857373, -87.702099)"
DOUGLAS (STEPHEN),218,CULTURAL CENTER,SPECIAL,1156813.71309,1893081.3516599999,"(41.862389, -87.699835)"
DOUGLAS (STEPHEN),218,FITNESS CENTER,INDOOR,1156850.17628,1893089.61378,"(41.862411, -87.699701)"
DOUGLAS (STEPHEN),218,GARDEN,OUTDOOR,1156792.5796099999,1891887.04204,"(41.859112, -87.699945)"
DOUGLAS (STEPHEN),218,GOLF COURSE,OUTDOOR,1156679.26192,1892938.07537,"(41.861999, -87.700333)"
DOUGLAS (STEPHEN),218,GYMNASIUM,INDOOR,1156785.1203000001,1893038.0315400001,"(41.862271, -87.699941)"
DOUGLAS (STEPHEN),218,BASEBALL JR/SOFTBALL,OUTDOOR,1156614.9982700001,1891358.92236,"(41.857667, -87.700611)"
DOUGLAS (STEPHEN),218,GOLF PUTTING GREEN,OUTDOOR,1156996.9830700001,1892988.60185,"(41.862131, -87.699165)"
DOUGLAS (STEPHEN),218,POOL (OUTDOOR),OUTDOOR,1156768.53208,1893229.0764299999,"(41.862796, -87.699997)"
DOUGLAS (STEPHEN),218,PLAYGROUND,OUTDOOR,1157864.5423600001,1891134.17084,"(41.857025, -87.696031)"
DOUGLAS (STEPHEN),218,PLAYGROUND,OUTDOOR,1156176.59396,1890818.7790900001,"(41.856193, -87.702235)"
DOUGLAS (STEPHEN),218,PLAYGROUND,OUTDOOR,1157772.0520599999,1893036.6965699999,"(41.862247, -87.696319)"
DOUGLAS (STEPHEN),218,PLAYGROUND,OUTDOOR,1156101.6771199999,1892838.7675000001,"(41.861738, -87.702456)"
DOUGLAS (STEPHEN),218,PLAYGROUND,OUTDOOR,1156789.80501,1894466.5969199999,"(41.866191, -87.699886)"
DOUGLAS (STEPHEN),218,SPRAY FEATURE,OUTDOOR,1157821.9968399999,1891036.1313400001,"(41.856756, -87.69619)"
DOUGLAS (STEPHEN),218,SPRAY FEATURE,OUTDOOR,1156241.33727,1890855.77507,"(41.856294, -87.701997)"
DOUGLAS (STEPHEN),218,SPRAY FEATURE,OUTDOOR,1156127.57437,1892746.2771999999,"(41.861484, -87.702363)"
DOUGLAS (STEPHEN),218,BASEBALL SR,OUTDOOR,1156824.95126,1891056.4790699999,"(41.856833, -87.699849)"
DOUGLAS (STEPHEN),218,TENNIS COURT,OUTDOOR,1157527.8776799999,1892330.9955500001,"(41.860316, -87.697234)"
DOUGLAS (STEPHEN),218,TENNIS COURT,OUTDOOR,1157575.97272,1892334.6953499999,"(41.860325, -87.697058)"
DOUGLAS (STEPHEN),218,TENNIS COURT,OUTDOOR,1157624.0674399999,1892338.39481,"(41.860334, -87.696881)"
LINCOLN (ABRAHAM),100,CHESS PAVILLION,SPECIAL,1177051.58076,1911066.38787,"(41.911307, -87.625)"
LINCOLN (ABRAHAM),100,LAGOON,OUTDOOR,1174975.5921199999,1913210.7283999999,"(41.917238, -87.632562)"
LINCOLN (ABRAHAM),100,LAGOON,OUTDOOR,1173603.19625,1917309.68673,"(41.928517, -87.637482)"
MARQUETTE (JACQUES),10,ARTIFICIAL TURF FIELD,OUTDOOR,1157187.81143,1857559.38891,"(41.764905, -87.699424)"
MARQUETTE (JACQUES),10,BASKETBALL COURT,OUTDOOR,1157453.2315,1857563.3501899999,"(41.76491, -87.698451)"
MARQUETTE (JACQUES),10,BASKETBALL COURT,OUTDOOR,1156501.2842600001,1859686.7114299999,"(41.770756, -87.701883)"
MARQUETTE (JACQUES),10,BASKETBALL COURT,OUTDOOR,1156570.6105599999,1859686.7114299999,"(41.770755, -87.701629)"
MARQUETTE (JACQUES),10,CASTING PIER,OUTDOOR,1155865.0916299999,1859489.77088,"(41.770229, -87.70422)"
MARQUETTE (JACQUES),10,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1156545.15851,1857500.6213100001,"(41.764757, -87.701781)"
MARQUETTE (JACQUES),10,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1155741.77134,1857531.52086,"(41.764857, -87.704725)"
MARQUETTE (JACQUES),10,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1153741.02829,1859246.44361,"(41.769603, -87.712013)"
MARQUETTE (JACQUES),10,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1155177.8554700001,1857639.6692600001,"(41.765166, -87.706789)"
MARQUETTE (JACQUES),10,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1158599.9756,1858249.9344500001,"(41.766771, -87.694229)"
MARQUETTE (JACQUES),10,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1158592.2508799999,1858674.80269,"(41.767937, -87.694246)"
MARQUETTE (JACQUES),10,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1158337.3297999999,1858790.67582,"(41.76826, -87.695177)"
MARQUETTE (JACQUES),10,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1158468.6527,1859153.74498,"(41.769254, -87.694686)"
MARQUETTE (JACQUES),10,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1157356.2707400001,1859609.5127600001,"(41.770527, -87.698751)"
MARQUETTE (JACQUES),10,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1156877.32812,1857508.3463600001,"(41.764771, -87.700563)"
MARQUETTE (JACQUES),10,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1155973.5175999999,1857477.44682,"(41.764704, -87.703877)"
MARQUETTE (JACQUES),10,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1154482.61638,1857454.27232,"(41.764671, -87.709342)"
MARQUETTE (JACQUES),10,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1156877.32812,1859617.2378100001,"(41.770558, -87.700506)"
MARQUETTE (JACQUES),10,GOLF COURSE,OUTDOOR,1155740.5666199999,1859696.0181700001,"(41.770797, -87.704671)"
MARQUETTE (JACQUES),10,GOLF DRIVING RANGE,OUTDOOR,1157317.3521799999,1858936.9983600001,"(41.768683, -87.698912)"
MARQUETTE (JACQUES),10,GYMNASIUM,INDOOR,1155958.06782,1859655.8620800001,"(41.770683, -87.703875)"
MARQUETTE (JACQUES),10,GYMNASIUM,INDOOR,1155040.6067300001,1857493.2469800001,"(41.764766, -87.707296)"
MARQUETTE (JACQUES),10,BASEBALL JR/SOFTBALL,OUTDOOR,1158288.5618499999,1858533.7386700001,"(41.767556, -87.695363)"
MARQUETTE (JACQUES),10,BASEBALL JR/SOFTBALL,OUTDOOR,1158593.22135,1858918.3711000001,"(41.768606, -87.694236)"
MARQUETTE (JACQUES),10,PLAYGROUND,OUTDOOR,1158378.2404799999,1857622.7726400001,"(41.765055, -87.695059)"
MARQUETTE (JACQUES),10,PLAYGROUND,OUTDOOR,1154478.9415200001,1859736.23003,"(41.770933, -87.709295)"
MARQUETTE (JACQUES),10,SPRAY FEATURE,OUTDOOR,1154615.61283,1859738.2106699999,"(41.770935, -87.708794)"
MARQUETTE (JACQUES),10,TENNIS COURT,OUTDOOR,1154049.1192099999,1859607.4816000001,"(41.770588, -87.710874)"
MARQUETTE (JACQUES),10,TENNIS COURT,OUTDOOR,1154053.08082,1859722.3648999999,"(41.770903, -87.710856)"
MARQUETTE (JACQUES),10,TENNIS COURT,OUTDOOR,1154098.6378200001,1859722.3648999999,"(41.770902, -87.710689)"
MARQUETTE (JACQUES),10,TENNIS COURT,OUTDOOR,1154003.56189,1859722.3648999999,"(41.770904, -87.711038)"
MARQUETTE (JACQUES),10,TENNIS COURT,OUTDOOR,1154148.1567500001,1859724.3455399999,"(41.770907, -87.710508)"
MARQUETTE (JACQUES),10,TENNIS COURT,OUTDOOR,1154195.69438,1859726.3261800001,"(41.770911, -87.710334)"
MARQUETTE (JACQUES),10,TENNIS COURT,OUTDOOR,1154199.6559900001,1859609.46224,"(41.77059, -87.710322)"
MARQUETTE (JACQUES),10,TENNIS COURT,OUTDOOR,1154148.1567500001,1859609.46224,"(41.770591, -87.710511)"
MARQUETTE (JACQUES),10,TENNIS COURT,OUTDOOR,1154102.5994200001,1859607.4816000001,"(41.770587, -87.710678)"
MARQUETTE (JACQUES),10,TENNIS COURT,OUTDOOR,1154003.56189,1859601.5393600001,"(41.770573, -87.711041)"
MARQUETTE (JACQUES),10,TENNIS COURT,OUTDOOR,1158567.20368,1859538.1553,"(41.770307, -87.694314)"
MARQUETTE (JACQUES),10,TENNIS COURT,OUTDOOR,1158616.7222800001,1859538.1553,"(41.770306, -87.694133)"
MARQUETTE (JACQUES),10,TENNIS COURT,OUTDOOR,1158662.2796100001,1859540.1359300001,"(41.77031, -87.693966)"
MARQUETTE (JACQUES),10,TENNIS COURT,OUTDOOR,1158668.2218500001,1859423.2720000001,"(41.76999, -87.693947)"
MARQUETTE (jACQUES),10,TENNIS COURT,OUTDOOR,1158616.7222800001,1859419.31039,"(41.76998, -87.694136)"
MARQUETTE (JACQUES),10,TENNIS COURT,OUTDOOR,1158571.1652899999,1859417.32975,"(41.769975, -87.694303)"
MARQUETTE (JACQUES),10,TRACK,OUTDOOR,1156968.74067,1859621.3467300001,"(41.770568, -87.700171)"
MARSHFIELD,1046,BASKETBALL COURT,OUTDOOR,1166729.9855800001,1846892.79345,"(41.735436, -87.664753)"
MARSHFIELD,1046,PLAYGROUND,OUTDOOR,1166795.81715,1846923.11589,"(41.735518, -87.664511)"
MARSHFIELD,1046,SPRAY FEATURE,OUTDOOR,1166808.1852299999,1846867.25872,"(41.735364, -87.664467)"
MARTIN (JOHNNY),447,PLAYGROUND PARK,OUTDOOR,1169439.59565,1921174.9854299999,"(41.939215, -87.652669)"
MASON (ELIZABETH),1164,PLAYGROUND,OUTDOOR,1148956.4345199999,1901024.1520499999,"(41.884341, -87.728473)"
MASON (ELIZABETH),1164,SPRAY FEATURE,OUTDOOR,1148921.6045299999,1900818.42411,"(41.883777, -87.728606)"
MATANKY (EUGENE),168,PLAYGROUND,OUTDOOR,1161671.46224,1945973.1868199999,"(42.007428, -87.680525)"
MATHER (STEPHEN TYNG),241,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1156276.558,1939354.43169,"(41.989377, -87.700554)"
MATHER (STEPHEN TYNG),241,BASKETBALL COURT,OUTDOOR,1156513.2360100001,1939206.42444,"(41.988966, -87.699687)"
MATHER (STEPHEN TYNG),241,BASKETBALL COURT,OUTDOOR,1156516.0148700001,1939149.4550600001,"(41.98881, -87.699678)"
MATHER (STEPHEN TYNG),241,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1156056.97511,1939366.7065999999,"(41.989415, -87.701361)"
MATHER (STEPHEN TYNG),241,HORSESHOE COURT,OUTDOOR,1155886.31895,1939644.7227700001,"(41.990181, -87.701981)"
MATHER (STEPHEN TYNG),241,BASEBALL JR/SOFTBALL,OUTDOOR,1156404.8549899999,1939177.2450300001,"(41.988888, -87.700087)"
MATHER (STEPHEN TYNG),241,BASEBALL JR/SOFTBALL,OUTDOOR,1156395.1286299999,1939541.2935200001,"(41.989887, -87.700112)"
MATHER (STEPHEN TYNG),241,BASEBALL JR/SOFTBALL,OUTDOOR,1156171.41943,1939591.3154,"(41.990029, -87.700934)"
MATHER (STEPHEN TYNG),241,BASEBALL JR/SOFTBALL,OUTDOOR,1155939.37298,1939517.6721699999,"(41.989832, -87.701789)"
MATHER (STEPHEN TYNG),241,PLAYGROUND,OUTDOOR,1155692.04244,1939403.7331000001,"(41.989524, -87.702702)"
MATHER (STEPHEN TYNG),241,BASEBALL SR,OUTDOOR,1155960.2154600001,1939155.01312,"(41.988836, -87.701723)"
MATHER (STEPHEN TYNG),241,TENNIS COURT,OUTDOOR,1155722.61127,1939619.10537,"(41.990114, -87.702584)"
MATHER (STEPHEN TYNG),241,TENNIS COURT,OUTDOOR,1155817.0973100001,1939623.274,"(41.990124, -87.702236)"
MATHER (STEPHEN TYNG),241,TENNIS COURT,OUTDOOR,1155678.14745,1939617.71594,"(41.990112, -87.702748)"
MATHER (STEPHEN TYNG),241,TENNIS COURT,OUTDOOR,1155771.2437199999,1939621.8845599999,"(41.990121, -87.702405)"
MATHER (STEPHEN TYNG),241,TENNIS COURT,OUTDOOR,1156518.7937400001,1939452.36555,"(41.989641, -87.69966)"
MATHER (STEPHEN TYNG),241,TENNIS COURT,OUTDOOR,1156521.57293,1939331.4793,"(41.989309, -87.699653)"
MAYFAIR,86,BASKETBALL COURT,OUTDOOR,1145146.8656899999,1929611.6739399999,"(41.962861, -87.741738)"
MAYFAIR,86,BASEBALL JR/SOFTBALL,OUTDOOR,1144952.4871499999,1929860.8220599999,"(41.963548, -87.742447)"
MAYFAIR,86,BASEBALL JR/SOFTBALL,OUTDOOR,1145193.0440799999,1929766.3176599999,"(41.963284, -87.741565)"
LINCOLN (ABRAHAM),100,PLAYGROUND,OUTDOOR,1173151.01933,1922584.9858899999,"(41.943002, -87.638987)"
LINCOLN (ABRAHAM),100,DOG FRIENDLY AREA,OUTDOOR,1172785.5404000001,1923377.9449400001,"(41.945186, -87.640307)"
WALSH (JOHN),393,DOG FRIENDLY AREA,OUTDOOR,1165206.7609399999,1912014.43092,"(41.914169, -87.668487)"
WALSH (JOHN),393,PLAYGROUND,OUTDOOR,1165157.77088,1911914.3205599999,"(41.913895, -87.66867)"
WANG (CHI CHE),522,PLAYGROUND,OUTDOOR,1163958.7116,1918955.7113300001,"(41.933243, -87.672876)"
WARD (A. MONTGOMERY),511,DOG FRIENDLY AREA,OUTDOOR,1172168.2929499999,1904823.95383,"(41.894287, -87.643124)"
WARD (A. MONTGOMERY),511,PLAYGROUND,OUTDOOR,1172384.4227700001,1904625.2691899999,"(41.893737, -87.642336)"
WARREN (LAURENCE),428,BASEBALL BATTING CAGE,SPECIAL,1159300.4810899999,1944522.03257,"(42.003495, -87.689288)"
WARREN (LAURENCE),428,BASKETBALL COURT,OUTDOOR,1159605.50771,1943797.1724700001,"(42.0015, -87.688186)"
WARREN (LAURENCE),428,BASKETBALL COURT,OUTDOOR,1159584.1219200001,1944537.7904099999,"(42.003533, -87.688244)"
WARREN (LAURENCE),428,BASKETBALL COURT,OUTDOOR,1159668.53908,1944538.91607,"(42.003534, -87.687934)"
WARREN (LAURENCE),428,BASKETBALL COURT,OUTDOOR,1159667.87372,1943759.3385600001,"(42.001395, -87.687958)"
WARREN (LAURENCE),428,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1159482.6372199999,1944791.16228,"(42.00423, -87.688611)"
WASHINGTON (GEORGE),21,BASEBALL JR/SOFTBALL,OUTDOOR,1181911.7209699999,1869330.5313800001,"(41.79667, -87.60844)"
WARREN (LAURENCE),428,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1159948.2114200001,1943642.2456199999,"(42.001068, -87.68693)"
WARREN (LAURENCE),428,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1159339.96132,1944288.0419000001,"(42.002852, -87.689149)"
WARREN (LAURENCE),428,GYMNASIUM,INDOOR,1159403.78994,1944059.0095500001,"(42.002223, -87.688921)"
WARREN (LAURENCE),428,ICESKATING,OUTDOOR,1159741.7003500001,1943998.0848000001,"(42.002048, -87.68768)"
WARREN (LAURENCE),428,BASEBALL JR/SOFTBALL,OUTDOOR,1160123.6028,1943481.5608999999,"(42.000623, -87.686289)"
WARREN (LAURENCE),428,BASEBALL JR/SOFTBALL,OUTDOOR,1159253.3771800001,1944662.1166099999,"(42.003881, -87.689458)"
WARREN (LAURENCE),428,BASEBALL JR/SOFTBALL,OUTDOOR,1159683.06464,1944712.02957,"(42.004009, -87.687875)"
WARREN (LAURENCE),428,PLAYGROUND,OUTDOOR,1159419.7902299999,1943395.34782,"(42.000401, -87.68888)"
WARREN (LAURENCE),428,PLAYGROUND,OUTDOOR,1159308.3600099999,1944935.6757700001,"(42.00463, -87.689248)"
WARREN (LAURENCE),428,PLAYGROUND,OUTDOOR,1161398.52348,1944921.0435800001,"(42.004547, -87.681558)"
WARREN (LAURENCE),428,SLED HILL,SPECIAL,1160080.2082,1944015.8606799999,"(42.00209, -87.686434)"
WARREN (LAURENCE),428,BASEBALL SR,OUTDOOR,1159789.4013700001,1943807.0815699999,"(42.001523, -87.687509)"
WARREN (LAURENCE),428,BASEBALL SR,OUTDOOR,1159667.87372,1943442.4983099999,"(42.000525, -87.687967)"
WARREN (LAURENCE),428,TENNIS COURT,OUTDOOR,1159284.72324,1943539.4193800001,"(42.000799, -87.689373)"
WARREN (LAURENCE),428,TENNIS COURT,OUTDOOR,1159334.2477500001,1943542.7960099999,"(42.000807, -87.689191)"
